YEAR,MO,DY,HR,T2M
2017,1,9,15,1.58
2017,1,9,16,1.04
2017,1,9,17,0.82
2017,1,9,18,0.84
2017,1,9,19,0.76
2017,1,9,20,0.66
2017,1,9,21,0.6
2017,1,9,22,0.59
2017,1,9,23,0.63
2017,1,10,0,0.71
2017,1,10,1,0.77
2017,1,10,2,0.76
2017,1,10,3,0.85
2017,1,10,4,0.87
2017,1,10,5,0.84
2017,1,10,6,0.87
2017,1,10,7,0.81
2017,1,10,8,0.7
2017,1,10,9,0.75
2017,1,10,10,0.94
2017,1,10,11,1.08
2017,1,10,12,1.23
2017,1,10,13,1.39
2017,1,10,14,1.47
2017,1,10,15,1.5
2017,1,10,16,1.33
2017,1,10,17,1.17
2017,1,10,18,1.12
2017,1,10,19,1.48
2017,1,10,20,1.57
2017,1,10,21,1.8
2017,1,10,22,2.13
2017,1,10,23,2.46
2017,1,11,0,2.56
2017,1,11,1,2.62
2017,1,11,2,3.05
2017,1,11,3,3.51
2017,1,11,4,3.59
2017,1,11,5,3.17
2017,1,11,6,2.68
2017,1,11,7,2.28
2017,1,11,8,2.46
2017,1,11,9,3.27
2017,1,11,10,4.43
2017,1,11,11,5.37
2017,1,11,12,5.49
2017,1,11,13,5.38
2017,1,11,14,5.17
2017,1,11,15,4.48
2017,1,11,16,3.95
2017,1,11,17,3.93
2017,1,11,18,4.08
2017,1,11,19,4.32
2017,1,11,20,4.49
2017,1,11,21,4.28
2017,1,11,22,3.92
2017,1,11,23,3.76
2017,1,12,0,3.66
2017,1,12,1,3.46
2017,1,12,2,3.3
2017,1,12,3,3.28
2017,1,12,4,2.97
2017,1,12,5,2.87
2017,1,12,6,2.88
2017,1,12,7,2.85
2017,1,12,8,2.88
2017,1,12,9,3.06
2017,1,12,10,3.38
2017,1,12,11,3.7
2017,1,12,12,3.84
2017,1,12,13,3.76
2017,1,12,14,3.4
2017,1,12,15,2.78
2017,1,12,16,2.18
2017,1,12,17,1.8
2017,1,12,18,1.7
2017,1,12,19,1.55
2017,1,12,20,1.26
2017,1,12,21,0.81
2017,1,12,22,0.28
2017,1,12,23,-0.1
2017,1,13,0,-0.45
2017,1,13,1,-0.71
2017,1,13,2,-0.93
2017,1,13,3,-0.99
2017,1,13,4,-0.95
2017,1,13,5,-0.91
2017,1,13,6,-0.99
2017,1,13,7,-1.27
2017,1,13,8,-1.54
2017,1,13,9,-0.88
2017,1,13,10,0.35
2017,1,13,11,1.43
2017,1,13,12,2.07
2017,1,13,13,2.22
2017,1,13,14,1.4
2017,1,13,15,-0.67
2017,1,13,16,-1.95
2017,1,13,17,-1.86
2017,1,13,18,-1.62
2017,1,13,19,-1.49
2017,1,13,20,-1.67
2017,1,13,21,-1.98
2017,1,13,22,-1.86
2017,1,13,23,-1.91
2017,1,14,0,-2.26
2017,1,14,1,-1.84
2017,1,14,2,-0.68
2017,1,14,3,0.34
2017,1,14,4,0.74
2017,1,14,5,0.71
2017,1,14,6,0.41
2017,1,14,7,0.04
2017,1,14,8,-0.27
2017,1,14,9,0.1
2017,1,14,10,0.92
2017,1,14,11,1.66
2017,1,14,12,2.11
2017,1,14,13,2.15
2017,1,14,14,1.6
2017,1,14,15,0.81
2017,1,14,16,0.07
2017,1,14,17,-0.08
2017,1,14,18,-0.04
2017,1,14,19,0.01
2017,1,14,20,0.03
2017,1,14,21,-0.06
2017,1,14,22,-0.27
2017,1,14,23,-0.38
2017,1,15,0,-0.58
2017,1,15,1,-0.66
2017,1,15,2,-0.86
2017,1,15,3,-1.29
2017,1,15,4,-1.77
2017,1,15,5,-2.23
2017,1,15,6,-2.69
2017,1,15,7,-3.31
2017,1,15,8,-3.68
2017,1,15,9,-2.74
2017,1,15,10,-1.02
2017,1,15,11,-0.04
2017,1,15,12,0.55
2017,1,15,13,0.8
2017,1,15,14,0.0
2017,1,15,15,-2.1
2017,1,15,16,-3.44
2017,1,15,17,-3.63
2017,1,15,18,-3.69
2017,1,15,19,-3.73
2017,1,15,20,-3.84
2017,1,15,21,-4.02
2017,1,15,22,-4.09
2017,1,15,23,-4.04
2017,1,16,0,-4.0
2017,1,16,1,-3.99
2017,1,16,2,-3.95
2017,1,16,3,-3.9
2017,1,16,4,-3.9
2017,1,16,5,-3.98
2017,1,16,6,-4.07
2017,1,16,7,-4.17
2017,1,16,8,-4.26
2017,1,16,9,-3.6
2017,1,16,10,-2.61
2017,1,16,11,-1.54
2017,1,16,12,-0.61
2017,1,16,13,-0.1
2017,1,16,14,-0.46
2017,1,16,15,-2.11
2017,1,16,16,-3.51
2017,1,16,17,-3.92
2017,1,16,18,-4.24
2017,1,16,19,-4.54
2017,1,16,20,-4.88
2017,1,16,21,-5.13
2017,1,16,22,-5.16
2017,1,16,23,-5.03
2017,1,17,0,-4.68
2017,1,17,1,-4.22
2017,1,17,2,-4.03
2017,1,17,3,-4.42
2017,1,17,4,-4.77
2017,1,17,5,-4.82
2017,1,17,6,-4.71
2017,1,17,7,-4.39
2017,1,17,8,-4.08
2017,1,17,9,-3.25
2017,1,17,10,-2.0
2017,1,17,11,-0.84
2017,1,17,12,-0.01
2017,1,17,13,0.47
2017,1,17,14,0.58
2017,1,17,15,0.29
2017,1,17,16,0.1
2017,1,17,17,0.24
2017,1,17,18,0.28
2017,1,17,19,0.39
2017,1,17,20,0.64
2017,1,17,21,0.78
2017,1,17,22,0.83
2017,1,17,23,0.81
2017,1,18,0,0.81
2017,1,18,1,0.85
2017,1,18,2,0.94
2017,1,18,3,1.07
2017,1,18,4,1.25
2017,1,18,5,1.44
2017,1,18,6,1.81
2017,1,18,7,2.15
2017,1,18,8,2.37
2017,1,18,9,2.43
2017,1,18,10,2.67
2017,1,18,11,2.98
2017,1,18,12,3.17
2017,1,18,13,3.22
2017,1,18,14,3.25
2017,1,18,15,3.14
2017,1,18,16,3.1
2017,1,18,17,3.2
2017,1,18,18,3.23
2017,1,18,19,3.29
2017,1,18,20,3.4
2017,1,18,21,3.43
2017,1,18,22,3.58
2017,1,18,23,3.69
2017,1,19,0,3.65
2017,1,19,1,3.55
2017,1,19,2,3.46
2017,1,19,3,3.67
2017,1,19,4,3.6
2017,1,19,5,3.46
2017,1,19,6,3.25
2017,1,19,7,3.1
2017,1,19,8,2.99
2017,1,19,9,3.14
2017,1,19,10,3.42
2017,1,19,11,3.78
2017,1,19,12,4.12
2017,1,19,13,4.31
2017,1,19,14,4.36
2017,1,19,15,4.2
2017,1,19,16,3.89
2017,1,19,17,3.64
2017,1,19,18,3.41
2017,1,19,19,3.19
2017,1,19,20,3.03
2017,1,19,21,2.91
2017,1,19,22,2.86
2017,1,19,23,2.85
2017,1,20,0,2.86
2017,1,20,1,2.89
2017,1,20,2,2.98
2017,1,20,3,3.05
2017,1,20,4,3.19
2017,1,20,5,3.46
2017,1,20,6,3.68
2017,1,20,7,4.04
2017,1,20,8,4.23
2017,1,20,9,4.58
2017,1,20,10,5.09
2017,1,20,11,5.48
2017,1,20,12,5.74
2017,1,20,13,5.82
2017,1,20,14,5.65
2017,1,20,15,5.12
2017,1,20,16,4.52
2017,1,20,17,4.23
2017,1,20,18,3.93
2017,1,20,19,3.7
2017,1,20,20,3.42
2017,1,20,21,3.34
2017,1,20,22,3.46
2017,1,20,23,3.6
2017,1,21,0,3.58
2017,1,21,1,3.58
2017,1,21,2,3.69
2017,1,21,3,3.84
2017,1,21,4,4.14
2017,1,21,5,4.17
2017,1,21,6,3.98
2017,1,21,7,3.6
2017,1,21,8,3.01
2017,1,21,9,3.84
2017,1,21,10,5.24
2017,1,21,11,6.03
2017,1,21,12,6.59
2017,1,21,13,6.85
2017,1,21,14,6.44
2017,1,21,15,4.62
2017,1,21,16,2.95
2017,1,21,17,2.54
2017,1,21,18,2.33
2017,1,21,19,2.26
2017,1,21,20,2.47
2017,1,21,21,2.84
2017,1,21,22,2.98
2017,1,21,23,3.05
2017,1,22,0,2.97
2017,1,22,1,2.91
2017,1,22,2,2.78
2017,1,22,3,2.61
2017,1,22,4,2.42
2017,1,22,5,2.18
2017,1,22,6,2.01
2017,1,22,7,1.62
2017,1,22,8,1.29
2017,1,22,9,1.81
2017,1,22,10,1.9
2017,1,22,11,1.95
2017,1,22,12,2.21
2017,1,22,13,2.66
2017,1,22,14,2.72
2017,1,22,15,2.09
2017,1,22,16,1.05
2017,1,22,17,0.75
2017,1,22,18,0.43
2017,1,22,19,0.11
2017,1,22,20,-0.06
2017,1,22,21,-0.1
2017,1,22,22,-0.23
2017,1,22,23,-0.33
2017,1,23,0,-0.3
2017,1,23,1,-0.28
2017,1,23,2,-0.29
2017,1,23,3,-0.23
2017,1,23,4,-0.14
2017,1,23,5,0.07
2017,1,23,6,0.03
2017,1,23,7,-0.24
2017,1,23,8,-0.29
2017,1,23,9,0.83
2017,1,23,10,2.28
2017,1,23,11,3.08
2017,1,23,12,3.54
2017,1,23,13,3.59
2017,1,23,14,3.23
2017,1,23,15,2.22
2017,1,23,16,1.03
2017,1,23,17,0.75
2017,1,23,18,0.61
2017,1,23,19,0.55
2017,1,23,20,0.47
2017,1,23,21,0.41
2017,1,23,22,0.4
2017,1,23,23,0.38
2017,1,24,0,0.45
2017,1,24,1,0.55
2017,1,24,2,0.72
2017,1,24,3,0.94
2017,1,24,4,1.3
2017,1,24,5,1.49
2017,1,24,6,1.64
2017,1,24,7,1.8
2017,1,24,8,1.99
2017,1,24,9,2.48
2017,1,24,10,3.24
2017,1,24,11,3.93
2017,1,24,12,4.54
2017,1,24,13,4.81
2017,1,24,14,4.72
2017,1,24,15,4.4
2017,1,24,16,3.97
2017,1,24,17,3.64
2017,1,24,18,3.1
2017,1,24,19,2.55
2017,1,24,20,2.24
2017,1,24,21,2.18
2017,1,24,22,1.96
2017,1,24,23,1.68
2017,1,25,0,1.43
2017,1,25,1,1.34
2017,1,25,2,1.43
2017,1,25,3,1.48
2017,1,25,4,1.46
2017,1,25,5,1.4
2017,1,25,6,1.28
2017,1,25,7,1.17
2017,1,25,8,1.0
2017,1,25,9,1.02
2017,1,25,10,1.41
2017,1,25,11,2.08
2017,1,25,12,2.55
2017,1,25,13,2.71
2017,1,25,14,2.59
2017,1,25,15,2.07
2017,1,25,16,1.19
2017,1,25,17,0.7
2017,1,25,18,0.16
2017,1,25,19,-0.47
2017,1,25,20,-1.0
2017,1,25,21,-1.45
2017,1,25,22,-1.59
2017,1,25,23,-1.62
2017,1,26,0,-1.69
2017,1,26,1,-1.75
2017,1,26,2,-1.91
2017,1,26,3,-2.11
2017,1,26,4,-2.54
2017,1,26,5,-2.72
2017,1,26,6,-2.87
2017,1,26,7,-2.86
2017,1,26,8,-2.74
2017,1,26,9,-2.36
2017,1,26,10,-1.59
2017,1,26,11,-0.67
2017,1,26,12,0.2
2017,1,26,13,0.98
2017,1,26,14,1.22
2017,1,26,15,0.48
2017,1,26,16,-0.95
2017,1,26,17,-0.72
2017,1,26,18,-0.57
2017,1,26,19,-0.7
2017,1,26,20,-0.91
2017,1,26,21,-1.22
2017,1,26,22,-1.39
2017,1,26,23,-1.78
2017,1,27,0,-1.94
2017,1,27,1,-2.13
2017,1,27,2,-2.12
2017,1,27,3,-2.11
2017,1,27,4,-2.03
2017,1,27,5,-1.96
2017,1,27,6,-1.87
2017,1,27,7,-1.78
2017,1,27,8,-1.56
2017,1,27,9,-0.59
2017,1,27,10,0.27
2017,1,27,11,1.15
2017,1,27,12,1.59
2017,1,27,13,1.61
2017,1,27,14,1.15
2017,1,27,15,-0.08
2017,1,27,16,-1.95
2017,1,27,17,-2.18
2017,1,27,18,-2.29
2017,1,27,19,-2.42
2017,1,27,20,-2.47
2017,1,27,21,-2.55
2017,1,27,22,-2.66
2017,1,27,23,-2.69
2017,1,28,0,-2.66
2017,1,28,1,-2.59
2017,1,28,2,-2.5
2017,1,28,3,-2.33
2017,1,28,4,-2.15
2017,1,28,5,-2.04
2017,1,28,6,-1.84
2017,1,28,7,-1.79
2017,1,28,8,-1.68
2017,1,28,9,-0.89
2017,1,28,10,0.27
2017,1,28,11,1.64
2017,1,28,12,2.75
2017,1,28,13,3.25
2017,1,28,14,2.92
2017,1,28,15,1.81
2017,1,28,16,0.64
2017,1,28,17,0.45
2017,1,28,18,0.31
2017,1,28,19,-0.09
2017,1,28,20,-0.66
2017,1,28,21,-1.2
2017,1,28,22,-1.33
2017,1,28,23,-1.59
2017,1,29,0,-1.78
2017,1,29,1,-1.79
2017,1,29,2,-1.51
2017,1,29,3,-0.82
2017,1,29,4,0.2
2017,1,29,5,1.08
2017,1,29,6,1.76
2017,1,29,7,2.09
2017,1,29,8,2.06
2017,1,29,9,2.07
2017,1,29,10,2.19
2017,1,29,11,2.33
2017,1,29,12,2.49
2017,1,29,13,2.67
2017,1,29,14,2.71
2017,1,29,15,2.45
2017,1,29,16,2.06
2017,1,29,17,1.98
2017,1,29,18,2.04
2017,1,29,19,2.2
2017,1,29,20,1.97
2017,1,29,21,1.56
2017,1,29,22,1.37
2017,1,29,23,0.97
2017,1,30,0,0.55
2017,1,30,1,0.17
2017,1,30,2,0.01
2017,1,30,3,-0.04
2017,1,30,4,0.02
2017,1,30,5,0.09
2017,1,30,6,0.47
2017,1,30,7,0.41
2017,1,30,8,0.21
2017,1,30,9,0.36
2017,1,30,10,0.73
2017,1,30,11,1.27
2017,1,30,12,1.86
2017,1,30,13,2.2
2017,1,30,14,2.23
2017,1,30,15,1.89
2017,1,30,16,1.35
2017,1,30,17,1.01
2017,1,30,18,0.91
2017,1,30,19,0.83
2017,1,30,20,0.77
2017,1,30,21,0.71
2017,1,30,22,0.73
2017,1,30,23,0.7
2017,1,31,0,0.66
2017,1,31,1,0.69
2017,1,31,2,0.74
2017,1,31,3,0.7
2017,1,31,4,0.56
2017,1,31,5,0.37
2017,1,31,6,0.18
2017,1,31,7,0.06
2017,1,31,8,0.14
2017,1,31,9,0.8
2017,1,31,10,1.55
2017,1,31,11,2.04
2017,1,31,12,2.38
2017,1,31,13,2.52
2017,1,31,14,2.39
2017,1,31,15,1.87
2017,1,31,16,0.77
